experiment,primary_decision,status,model_or_prop,date,terminal_decision_path
mlb_ubo5_tb15_launchagent_daily_integration,`MLB_UBO5_TB15_PRODUCTION_ACTION_DECISION = ROUTE_REMAINS_ACTIVE_WITH_INCUMBENT_FAIL_CLOSED_FALLBACK`,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_launchagent_daily_integration/2026-07-23/terminal_decision.md
mlb_ubo5_tb15_outcome_reconciliation_lifecycle_repair,UBO5_TB15_RECONCILIATION_LIFECYCLE_DECISION = REPAIRED_NONBLOCKING_VISIBLE_FAIL_CLOSED,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_outcome_reconciliation_lifecycle_repair/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_production_coverage_fallback_audit,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_total_bases_exact_champion_shadow_endpoint,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_total_bases_production_shadow_ubo_terminal_reconciliation,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_ubo5_tb15_broad_board_pre_post_bridge,UBO5_TB15_BROAD_APPROACH_REPLICATION_DECISION = BROAD_APPROACH_NOT_REPLICATED_IN_MARKET_POSITIVE_TAIL,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_broad_board_pre_post_bridge/2026-07-27/terminal_decision.md
mlb_ubo5_tb15_consensus_filter_test,MLB_UBO5_TB15_UPLOAD_AUTOMATION_DECISION = NOT_AUTHORIZED_DIAGNOSTIC_ONLY,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_consensus_filter_test/2026-07-25/terminal_decision.md
mlb_ubo5_tb15_original_win_rate_contract_replay,UBO5_RAW_VS_EDGE_INTERPRETATION_DECISION = EDGE_BOARD_TESTS_MARKET_DISAGREEMENT_NOT_ORIGINAL_PROBABILITY_CONTRACT,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_original_win_rate_contract_replay/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_probability_advantage_decomposition,`UBO5_TB15_PRODUCTION_ACTION_DECISION = READ_ONLY_NO_CHANGE`,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_probability_advantage_decomposition/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_upload_filter_test,MLB_UBO5_TB15_UPLOAD_AUTOMATION_DECISION = NOT_AUTHORIZED_DIAGNOSTIC_ONLY,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_upload_filter_test/2026-07-25/terminal_decision.md
mlb_ubo5_tb15_vs_incumbent_daily_population,UBO5_VS_INCUMBENT_LINEAGE_DECISION = NO_COMPARABLE_CANDIDATES_CAPTURE_STAGE_PASS_NO_SUBSTITUTION,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_vs_incumbent_daily_population/2026-07-28/terminal_decision.md
mlb_ubo5_total_bases_15_production_activation,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_ubo5_total_bases_established_hitter_implementation_readiness,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_ubo5_tb15_under_evaluation,`UBO5_TB15_UNDER_VALID_CLAIM_DECISION = HISTORICAL_CLASSIFICATION_AND_EDGE_RESULTS_DESCRIPTIVE_NOT_PRODUCTION_CERTIFIED`,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/under_evaluation/mlb_ubo5_tb15_under_evaluation/2026-07-28/terminal_decision.md
mlb_bol_tb15_july27_winner_loser_characterization,BOL_TB15_JULY27_SINGLE_SLATE_LIMIT_DECISION = PREGAME_FEATURES_SHOW_ONLY_WEAK_SEPARATION,HISTORICAL_ARCHIVED,BOL_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/winner_loser_characterization/mlb_bol_tb15_july27_winner_loser_characterization/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_july27_all_bol_rows_flat5_return,SEE_TERMINAL_DECISION,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/winner_loser_characterization/mlb_ubo5_tb15_july27_all_bol_rows_flat5_return/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_july27_winner_recognition_audit,UBO5_JULY27_INTRADAY_TIMING_DECISION = IDENTICAL_28_EVER_AND_FINAL_NO_POPULATION_CHURN,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/winner_loser_characterization/mlb_ubo5_tb15_july27_winner_recognition_audit/2026-07-28/terminal_decision.md
