row_type,feature,period,semantics,mechanically_grows,control_coefficient,repaired_coefficient,games,mean,p99,max,training_max,share_above_training_max,within_context_month_actual_total_correlation,safety_decision,notes
PERIOD,home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,-0.01084444912895344,-0.012382836433609365,2433,9.661323468968352,18.0,23.0,21.0,0.0012330456226880395,0.01754250887746488,,
PERIOD,home_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,-0.01084444912895344,-0.012382836433609365,1281,9.323965651834504,17.0,20.0,21.0,0.0,0.05018032903468374,,
PERIOD,home_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,-0.01084444912895344,-0.012382836433609365,439,10.740318906605923,17.0,20.0,21.0,0.0,-0.05465120757762281,,
PERIOD,home_bullpen_likely_available_reliever_count,PROSPECTIVE_AUG06_15,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,-0.01084444912895344,-0.012382836433609365,126,13.341269841269842,19.75,20.0,21.0,0.0,nan,,
DECISION,home_bullpen_likely_available_reliever_count,ALL,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,-0.01084444912895344,-0.012382836433609365,,,,,,,-0.043406075060483454,WATCH,Safety-only finding; no related feature was modified or optimized in this task.
PERIOD,away_bullpen_likely_available_reliever_count,DEVELOPMENT_2023_24,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,0.003558827664027518,0.0021600145225947357,4859,9.578925704877546,17.0,20.0,20.0,0.0,-0.030930582312584148,,
PERIOD,away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,0.003558827664027518,0.0021600145225947357,2433,9.778462803123716,18.0,25.0,20.0,0.002055076037813399,0.02959867297721913,,
PERIOD,away_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,0.003558827664027518,0.0021600145225947357,1281,9.30991412958626,17.0,20.0,20.0,0.0,0.0001389024251494984,,
PERIOD,away_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,0.003558827664027518,0.0021600145225947357,439,10.876993166287017,18.0,19.0,20.0,0.0,-0.06292085428734953,,
PERIOD,away_bullpen_likely_available_reliever_count,PROSPECTIVE_AUG06_15,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,0.003558827664027518,0.0021600145225947357,126,13.087301587301587,18.0,18.0,20.0,0.0,nan,,
DECISION,away_bullpen_likely_available_reliever_count,ALL,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,0.003558827664027518,0.0021600145225947357,,,,,,,-0.030930582312584148,WATCH,Safety-only finding; no related feature was modified or optimized in this task.
