row_type,period,variant,games,within_venue_month_depth_forecast_correlation,partial_correlation_after_park_factor_control,direct_d_log_location_per_depth_game,remaining_mechanism,venue_id,park_name
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,298,-0.017018072442629935,-0.025116418513387296,0.0,retained park factor and other time-varying features only,4,Rate Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,301,-0.08671285262163202,-0.08606695420713233,-0.0005735321288036154,raw depth plus retained inputs,5,Progressive Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,301,-0.1096258048691495,-0.10882319443366957,0.0,retained park factor and other time-varying features only,5,Progressive Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,298,0.0386736469094379,0.013449156081383121,-0.0005735321288036154,raw depth plus retained inputs,7,Kauffman Stadium
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,298,0.05588605866692504,0.028185967867928235,0.0,retained park factor and other time-varying features only,7,Kauffman Stadium
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,162,-0.25355305136144657,-0.28707118343606614,-0.0005735321288036154,raw depth plus retained inputs,10,Oakland Coliseum
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,162,-0.21771208871446474,-0.2692248203136556,0.0,retained park factor and other time-varying features only,10,Oakland Coliseum
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,221,-0.15442874290290382,-0.09598780565545849,-0.0005735321288036154,raw depth plus retained inputs,12,Tropicana Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,221,-0.16551949855327286,-0.10541835034721413,0.0,retained park factor and other time-varying features only,12,Tropicana Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,302,-0.15618817609013472,-0.15117685806162215,-0.0005735321288036154,raw depth plus retained inputs,14,Rogers Centre
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,302,-0.09148389442190755,-0.08214598235378495,0.0,retained park factor and other time-varying features only,14,Rogers Centre
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,297,-0.1311708858188781,-0.15837833335443433,-0.0005735321288036154,raw depth plus retained inputs,15,Chase Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,297,-0.09107005926438078,-0.11227247672841341,0.0,retained park factor and other time-varying features only,15,Chase Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,0.13149526700770803,0.14225371591092975,-0.0005735321288036154,raw depth plus retained inputs,17,Wrigley Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.1182566862683831,0.12784334844511525,0.0,retained park factor and other time-varying features only,17,Wrigley Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,0.036981102020850046,-0.06556266581439196,-0.0005735321288036154,raw depth plus retained inputs,19,Coors Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.12384529324468074,0.028219931924046794,0.0,retained park factor and other time-varying features only,19,Coors Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,298,-0.0996567690390279,-0.05604419600140923,-0.0005735321288036154,raw depth plus retained inputs,22,UNIQLO Field at Dodger Stadium
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,298,-0.05150047281934448,-0.009499961187276819,0.0,retained park factor and other time-varying features only,22,UNIQLO Field at Dodger Stadium
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,-0.04236865989577366,-0.05471837064433246,-0.0005735321288036154,raw depth plus retained inputs,31,PNC Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.0022600621386924583,-0.013311636461821454,0.0,retained park factor and other time-varying features only,31,PNC Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,302,-0.15361578110803026,-0.11375859643749679,-0.0005735321288036154,raw depth plus retained inputs,32,American Family Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,302,-0.1147122718782033,-0.07479127756328707,0.0,retained park factor and other time-varying features only,32,American Family Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,301,-0.13863109032707702,-0.06194952486452891,-0.0005735321288036154,raw depth plus retained inputs,680,T-Mobile Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,301,-0.14984339560600055,-0.08082765437616848,0.0,retained park factor and other time-varying features only,680,T-Mobile Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,302,-0.041835706731035066,-0.03916126631682726,-0.0005735321288036154,raw depth plus retained inputs,2392,Daikin Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,302,-0.061200123094214735,-0.04856833346499102,0.0,retained park factor and other time-varying features only,2392,Daikin Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,299,0.001668859139934684,0.0016897962245868564,-0.0005735321288036154,raw depth plus retained inputs,2394,Comerica Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,299,0.04398135924246993,0.04401501199928571,0.0,retained park factor and other time-varying features only,2394,Comerica Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,296,-0.17143289898370667,-0.167429554094971,-0.0005735321288036154,raw depth plus retained inputs,2395,Oracle Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,296,-0.09358530668676096,-0.08939351266565056,0.0,retained park factor and other time-varying features only,2395,Oracle Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,132,0.16243327147471215,0.020227684055914144,-0.0005735321288036154,raw depth plus retained inputs,2529,Sutter Health Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,132,0.14622351010871085,-0.022800148028154436,0.0,retained park factor and other time-varying features only,2529,Sutter Health Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,301,-0.02647497324401542,-0.03885494405521866,-0.0005735321288036154,raw depth plus retained inputs,2602,Great American Ball Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,301,0.06516891694624989,0.053920932898011725,0.0,retained park factor and other time-varying features only,2602,Great American Ball Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,297,-0.07169212519833623,-0.05377759689116984,-0.0005735321288036154,raw depth plus retained inputs,2680,Petco Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,297,-0.09377085191833295,-0.06302195504472945,0.0,retained park factor and other time-varying features only,2680,Petco Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,-0.018200228347067866,-0.02911028177320193,-0.0005735321288036154,raw depth plus retained inputs,2681,Citizens Bank Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.022841787815309107,0.0141477825816205,0.0,retained park factor and other time-varying features only,2681,Citizens Bank Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,-0.0877032429134236,-0.07803212185317124,-0.0005735321288036154,raw depth plus retained inputs,2889,Busch Stadium
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,-0.0985783210115751,-0.09062032479832016,0.0,retained park factor and other time-varying features only,2889,Busch Stadium
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,0.011209270572119514,0.006301434533825111,-0.0005735321288036154,raw depth plus retained inputs,3289,Citi Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.03999558225603151,0.03554290148072506,0.0,retained park factor and other time-varying features only,3289,Citi Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,299,-0.028956852964463608,-0.05490321822523559,-0.0005735321288036154,raw depth plus retained inputs,3309,Nationals Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,299,0.010985883877030412,-0.036017961993588345,0.0,retained park factor and other time-varying features only,3309,Nationals Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,0.02431392946672239,0.020233236416162478,-0.0005735321288036154,raw depth plus retained inputs,3312,Target Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.0449838072727963,0.042209376632146106,0.0,retained park factor and other time-varying features only,3312,Target Field
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,296,-0.024291040582482843,-0.035270201278411316,-0.0005735321288036154,raw depth plus retained inputs,3313,Yankee Stadium
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,296,-0.008636375997027332,-0.01785808550451584,0.0,retained park factor and other time-varying features only,3313,Yankee Stadium
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,300,0.10404187890755356,0.08311347259523122,-0.0005735321288036154,raw depth plus retained inputs,4169,loanDepot park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,300,0.13409221909782484,0.113052765505079,0.0,retained park factor and other time-varying features only,4169,loanDepot park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,301,-0.02063971787337688,0.002014918671019135,-0.0005735321288036154,raw depth plus retained inputs,4705,Truist Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,301,0.008715438109979648,0.028328643675136763,0.0,retained park factor and other time-varying features only,4705,Truist Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,299,-0.23558816020474962,-0.15039174173461184,-0.0005735321288036154,raw depth plus retained inputs,5325,Globe Life Field
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,299,-0.24531117504190306,-0.15622395621739713,0.0,retained park factor and other time-varying features only,5325,Globe Life Field
