summary_family,summary_value,rows,resolved,wins,losses,pushes,wr,roi,units,avg_odds,avg_implied,sample_flag,research_only_note
agreement_profile,component_missing,328,289,88,201,0,0.3044982698961938,-0.20056585857107925,-57.963533127041906,158.96885813148788,0.3798239293206178,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_low_bullpen_high,2,2,1,1,0,0.5,-0.20238095238095238,-0.40476190476190477,9.0,0.48825801064607033,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_low_bullpen_low,44,43,12,31,0,0.27906976744186046,-0.22116279069767442,-9.51,170.7906976744186,0.36510595614372093,thin_lt_50,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_low_bullpen_mid,17,17,5,12,0,0.29411764705882354,-0.24235294117647055,-4.119999999999999,131.1764705882353,0.40016607047120756,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_mid_bullpen_low,119,117,31,86,0,0.26495726495726496,-0.3112747012642682,-36.41914004791938,159.72649572649573,0.37802239574344415,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,offense_mid_starter_mid_bullpen_mid,53,53,18,35,0,0.33962264150943394,-0.17025355902410072,-9.023438628277338,142.8490566037736,0.39404522565613564,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,starter_high_team_expected_mediocre,66,61,22,39,0,0.36065573770491804,-0.048257118205349385,-2.9436842105263126,153.81967213114754,0.3842550747229812,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
agreement_profile,team_expected_high_starter_mediocre,185,181,47,134,0,0.2596685082872928,-0.32875238992092787,-59.50418257568795,153.32044198895028,0.3858157813490529,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_strength_bucket,high,489,472,207,265,0,0.4385593220338983,0.13049146063657632,61.591969420464025,151.61864406779662,0.38954464350242857,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_strength_bucket,low,694,676,162,514,0,0.23964497041420119,-0.3878032515329913,-262.1549980363021,154.6094674556213,0.3844604470153131,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_strength_bucket,mid,573,555,165,390,0,0.2972972972972973,-0.2122768292142793,-117.813640213925,158.7783783783784,0.37926690635157434,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_strength_bucket,missing,21,0,0,0,0,,,0,,,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
starter_matchup_bucket,high,444,428,175,253,0,0.4088785046728972,0.0592097921688838,25.341791048282268,152.60981308411215,0.3893999651688124,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
starter_matchup_bucket,low,425,416,108,308,0,0.25961538461538464,-0.33212691946094164,-138.1647984957517,152.45432692307693,0.386846321693079,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
starter_matchup_bucket,mid,580,570,163,407,0,0.28596491228070176,-0.258930049570617,-147.5901282552517,157.0561403508772,0.38051420429893085,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
starter_matchup_bucket,missing,328,289,88,201,0,0.3044982698961938,-0.20056585857107925,-57.963533127041906,158.96885813148788,0.3798239293206178,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
bullpen_support_bucket,high,312,305,111,194,0,0.3639344262295082,-0.06283904357128405,-19.165908289241635,155.80327868852459,0.3895698589408415,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
bullpen_support_bucket,low,808,782,224,558,0,0.2864450127877238,-0.25032407852964145,-195.7534294101796,157.4923273657289,0.37917708186575766,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
bullpen_support_bucket,mid,636,616,199,417,0,0.32305194805194803,-0.16795021287393155,-103.45733113034184,151.82305194805195,0.3878541914685756,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
bullpen_support_bucket,missing,21,0,0,0,0,,,0,,,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
team_rollup_bucket,high,529,516,187,329,0,0.3624031007751938,-0.06389158520587211,-32.968057966230006,152.68798449612405,0.38921112505782585,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
team_rollup_bucket,low,532,521,138,383,0,0.2648752399232246,-0.31181961426311905,-162.45801903108503,154.51823416506718,0.3823297369517841,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
team_rollup_bucket,mid,388,377,121,256,0,0.3209549071618037,-0.17237946606208537,-64.98705870540618,156.41644562334218,0.3831767052659032,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
team_rollup_bucket,missing,328,289,88,201,0,0.3044982698961938,-0.20056585857107925,-57.963533127041906,158.96885813148788,0.3798239293206178,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_form_bucket,high,485,467,201,266,0,0.430406852248394,0.10899973985304742,50.902878511373146,151.59957173447538,0.39013892489584573,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_form_bucket,low,572,557,123,434,0,0.22082585278276481,-0.4320672018559798,-240.66143143378076,157.7737881508079,0.3815407629735558,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_form_bucket,mid,699,679,210,469,0,0.30927835051546393,-0.1894228511153983,-128.61811590735545,155.41237113402062,0.38223915174961876,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
offense_form_bucket,missing,21,0,0,0,0,,,0,,,small_lt_25,Environment v2-alpha dashboard descriptive bucket; not a production rule
pitcher_base_bucket,high,429,417,138,279,0,0.33093525179856115,-0.16005458525884295,-66.74276205293751,149.16067146282973,0.39031832970224567,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
pitcher_base_bucket,low,268,265,91,174,0,0.3433962264150943,-0.09974929784094537,-26.43356392785052,155.12830188679246,0.383757773182108,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
pitcher_base_bucket,mid,752,732,217,515,0,0.296448087431694,-0.22846558705182093,-167.23680972193293,157.03688524590163,0.3825489043550111,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
pitcher_base_bucket,missing,328,289,88,201,0,0.3044982698961938,-0.20056585857107925,-57.963533127041906,158.96885813148788,0.3798239293206178,ok,Environment v2-alpha dashboard descriptive bucket; not a production rule
