canonical_field,family,source,grain,window,minimum_prior_games,target_game_excluded,season_reset,prior_season_carryover,missing_behavior,classification,model_input_eligible
prior_games,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r5_sa_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,5 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r10_gf_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,10 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r10_ga_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,10 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r10_goal_diff_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,10 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r10_sf_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,10 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r10_sa_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,10 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
team_timing_status,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,NO_METADATA
days_rest,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
back_to_back,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
games_prior_3d,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
games_prior_5d,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
games_prior_7d,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
consecutive_road_games_prior,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
schedule_timing_status,SCHEDULE_REST,nhl.games,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,NO_METADATA
