population,metric,candidate_id,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,fraction_draws_favoring_champion_retention,interpretation
FROZEN_2025_VALIDATION,mae,S2_01,15,0.587,0.7552,False,0.7065,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_06,15,0.1476,1.0,False,0.9262,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_07,15,0.0004,0.006,True,0.0002,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_08,15,0.293,1.0,False,0.1465,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_09,15,0.5374,1.0,False,0.2687,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_10,15,0.9592,1.0,False,0.5204,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_11,15,0.0948,0.8532,False,0.9526,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_12,15,0.0048,0.0672,False,0.9976,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_13,15,0.0216,0.2592,False,0.9892,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_14,15,0.0174,0.22619999999999998,False,0.9913,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_15,15,0.1594,1.0,False,0.0797,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_01,15,0.223,1.0,False,0.1115,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_02,15,0.0178,0.178,False,0.0089,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_03,15,0.0888,0.5964,False,0.9556,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_04,15,0.6834,1.0,False,0.6583,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_05,15,0.7746,1.0,False,0.3873,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_06,15,0.001,0.011,True,0.9995,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_07,15,0.0852,0.5964,False,0.0426,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_08,15,0.712,1.0,False,0.644,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_09,15,0.603,1.0,False,0.6985,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_10,15,0.0686,0.5488,False,0.0343,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_11,15,0.0002,0.0028,True,0.9999,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_12,15,0.0002,0.0028,True,0.9999,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_13,15,0.0002,0.0028,True,0.9999,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_14,15,0.0,0.0,True,1.0,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,mae,S2_15,15,0.0504,0.4536,False,0.9748,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_01,15,0.0028,0.0336,True,0.0014,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_02,15,0.1426,0.9982,False,0.0713,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_03,15,0.911,1.0,False,0.4555,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_04,15,0.0012,0.0168,True,0.9994,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_05,15,0.996,1.0,False,0.502,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_06,15,0.0008,0.012,True,0.9996,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_07,15,0.0856,0.6848,False,0.0428,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_08,15,0.8622,1.0,False,0.4311,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_09,15,0.0134,0.134,False,0.9933,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_10,15,0.6878,1.0,False,0.3439,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_11,15,0.0104,0.1144,False,0.9948,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_12,15,0.0012,0.0168,True,0.9994,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_13,15,0.0156,0.1404,False,0.9922,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_14,15,0.2364,1.0,False,0.8818,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,crps,S2_15,15,0.1438,0.9982,False,0.0719,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_01,15,0.0026,0.0364,True,0.0013,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_02,15,0.2616,1.0,False,0.1308,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_03,15,0.9646,1.0,False,0.5177,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_04,15,0.0026,0.0364,True,0.9987,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_05,15,0.8198,1.0,False,0.4099,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_06,15,0.0052,0.0624,False,0.9974,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_07,15,0.0536,0.4288,False,0.0268,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_08,15,0.9858,1.0,False,0.4929,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_09,15,0.025,0.225,False,0.9875,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_10,15,0.8374,1.0,False,0.4187,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_11,15,0.009,0.09899999999999999,False,0.9955,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_12,15,0.0016,0.024,True,0.9992,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_13,15,0.0138,0.138,False,0.9931,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_14,15,0.2512,1.0,False,0.8744,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,brier,S2_15,15,0.1484,1.0,False,0.0742,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_01,15,0.002,0.03,True,0.001,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_02,15,0.3098,1.0,False,0.1549,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_03,15,0.9382,1.0,False,0.4691,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_04,15,0.0028,0.0364,True,0.9986,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_05,15,0.8256,1.0,False,0.4128,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_06,15,0.0078,0.09359999999999999,False,0.9961,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_07,15,0.048,0.384,False,0.024,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_08,15,0.9196,1.0,False,0.4598,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_09,15,0.0226,0.2034,False,0.9887,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_10,15,0.8274,1.0,False,0.4137,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_11,15,0.012,0.132,False,0.994,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_12,15,0.002,0.03,True,0.999,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_13,15,0.0182,0.182,False,0.9909,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_14,15,0.301,1.0,False,0.8495,FWER sensitivity only; not sole structural interpretation
2026_SEQUENTIAL_EARLY,log_loss,S2_15,15,0.116,0.812,False,0.058,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_01,15,0.423,1.0,False,0.7885,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_02,15,0.7678,1.0,False,0.6161,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_03,15,0.7708,1.0,False,0.6146,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_04,15,0.8494,1.0,False,0.4247,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_05,15,0.1566,1.0,False,0.0783,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_06,15,0.8124,1.0,False,0.4062,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_07,15,0.4086,1.0,False,0.2043,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_08,15,0.5788,1.0,False,0.2894,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_09,15,0.1552,1.0,False,0.0776,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_10,15,0.5752,1.0,False,0.7124,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_11,15,0.4246,1.0,False,0.7877,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_12,15,0.1726,1.0,False,0.9137,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_13,15,0.2192,1.0,False,0.8904,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_14,15,0.0008,0.012,True,0.9996,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,mae,S2_15,15,0.0022,0.0308,True,0.9989,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_01,15,0.7698,1.0,False,0.3849,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_02,15,0.939,1.0,False,0.4695,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_03,15,0.2828,1.0,False,0.1414,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_04,15,0.0038,0.057,False,0.9981,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_05,15,0.1394,1.0,False,0.0697,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_06,15,0.599,1.0,False,0.7005,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_07,15,0.1178,1.0,False,0.0589,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_08,15,0.8444,1.0,False,0.4222,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_09,15,0.5134,1.0,False,0.2567,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_10,15,0.3788,1.0,False,0.8106,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_11,15,0.3104,1.0,False,0.8448,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_12,15,0.2238,1.0,False,0.8881,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_13,15,0.2574,1.0,False,0.8713,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_14,15,0.5408,1.0,False,0.7296,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,crps,S2_15,15,0.3898,1.0,False,0.1949,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_01,15,0.9354,1.0,False,0.5323,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_02,15,0.7018,1.0,False,0.6491,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_03,15,0.3814,1.0,False,0.1907,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_04,15,0.026,0.38999999999999996,False,0.987,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_05,15,0.1032,1.0,False,0.0516,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_06,15,0.9838,1.0,False,0.5081,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_07,15,0.1468,1.0,False,0.0734,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_08,15,0.7258,1.0,False,0.3629,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_09,15,0.4772,1.0,False,0.2386,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_10,15,0.384,1.0,False,0.808,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_11,15,0.6096,1.0,False,0.6952,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_12,15,0.4238,1.0,False,0.7881,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_13,15,0.5018,1.0,False,0.7491,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_14,15,0.4538,1.0,False,0.7731,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,brier,S2_15,15,0.6976,1.0,False,0.3488,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_01,15,0.8776,1.0,False,0.5612,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_02,15,0.606,1.0,False,0.697,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_03,15,0.3196,1.0,False,0.1598,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_04,15,0.0186,0.27899999999999997,False,0.9907,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_05,15,0.1056,1.0,False,0.0528,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_06,15,0.9072,1.0,False,0.4536,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_07,15,0.1218,1.0,False,0.0609,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_08,15,0.757,1.0,False,0.3785,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_09,15,0.5524,1.0,False,0.2762,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_10,15,0.4068,1.0,False,0.7966,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_11,15,0.6716,1.0,False,0.6642,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_12,15,0.4734,1.0,False,0.7633,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_13,15,0.5686,1.0,False,0.7157,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_14,15,0.548,1.0,False,0.726,FWER sensitivity only; not sole structural interpretation
2026_LATE_HOLDOUT,log_loss,S2_15,15,0.577,1.0,False,0.2885,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_01,15,0.332,1.0,False,0.834,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_02,15,0.48,1.0,False,0.24,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_03,15,0.0834,0.8340000000000001,False,0.9583,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_04,15,0.9056,1.0,False,0.5472,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_05,15,0.873,1.0,False,0.5635,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_06,15,0.4698,1.0,False,0.7651,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_07,15,0.372,1.0,False,0.186,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_08,15,0.1466,1.0,False,0.0733,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_09,15,0.8748,1.0,False,0.5626,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_10,15,0.2514,1.0,False,0.1257,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_11,15,0.057,0.627,False,0.9715,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_12,15,0.0296,0.4144,False,0.9852,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_13,15,0.0352,0.4224,False,0.9824,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_14,15,0.009,0.13499999999999998,False,0.9955,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,mae,S2_15,15,0.0306,0.4144,False,0.9847,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_01,15,0.496,1.0,False,0.248,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_02,15,0.5174,1.0,False,0.2587,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_03,15,0.2662,1.0,False,0.8669,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_04,15,0.0044,0.066,False,0.9978,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_05,15,0.5732,1.0,False,0.7134,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_06,15,0.2398,1.0,False,0.8801,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_07,15,0.0152,0.2128,False,0.0076,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_08,15,0.034,0.44200000000000006,False,0.017,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_09,15,0.4754,1.0,False,0.7623,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_10,15,0.777,1.0,False,0.3885,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_11,15,0.1766,1.0,False,0.9117,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_12,15,0.061,0.732,False,0.9695,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_13,15,0.1298,1.0,False,0.9351,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_14,15,0.1676,1.0,False,0.9162,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,crps,S2_15,15,0.6616,1.0,False,0.6692,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_01,15,0.7122,1.0,False,0.3561,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_02,15,0.5702,1.0,False,0.2851,FWER sensitivity only; not sole structural interpretation
PROSPECTIVE_AUG17_28_CLEAN_RAW,brier,S2_03,15,0.3552,1.0,False,0.8224,FWER sensitivity only; not sole structural interpretation
