population,metric,omitted_feature,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,fraction_favoring_candidate,fraction_favoring_champion,interpretation
FROZEN_2025_VALIDATION,mae,league_total,22,0.0226,0.47459999999999997,False,0.9887,0.0113,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_prevention,22,0.6502,1.0,False,0.6749,0.3251,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_starter_ra9,22,0.0842,1.0,False,0.0421,0.9579,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_starter_ra9,22,0.884,1.0,False,0.558,0.442,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_starter_prior_starts,22,0.0124,0.248,False,0.9938,0.0062,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_starter_prior_starts,22,0.7624,1.0,False,0.3812,0.6188,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_expected_outs,22,0.7364,1.0,False,0.6318,0.3682,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_expected_outs,22,0.0474,0.7584,False,0.9763,0.0237,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_workload_uncertainty_outs,22,0.5228,1.0,False,0.7386,0.2614,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_workload_uncertainty_outs,22,0.9186,1.0,False,0.4593,0.5407,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_bullpen_ra9,22,0.042,0.7140000000000001,False,0.979,0.021,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_bullpen_ra9,22,0.1516,1.0,False,0.9242,0.0758,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_bullpen_likely_available_reliever_count,22,0.0028,0.0616,False,0.9986,0.0014,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_bullpen_likely_available_reliever_count,22,0.9434,1.0,False,0.4717,0.5283,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_bullpen_recent_innings_burden,22,0.1668,1.0,False,0.0834,0.9166,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_bullpen_recent_innings_burden,22,0.3896,1.0,False,0.8052,0.1948,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,strict_prior_total_run_factor,22,0.1104,1.0,False,0.0552,0.9448,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,park_history_depth,22,0.2204,1.0,False,0.8898,0.1102,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,game_number,22,0.8068,1.0,False,0.4034,0.5966,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,league_total,22,0.0272,0.5167999999999999,False,0.0136,0.9864,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_offense,22,0.0232,0.46399999999999997,False,0.0116,0.9884,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_prevention,22,0.0618,1.0,False,0.9691,0.0309,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_offense,22,0.282,1.0,False,0.859,0.141,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_prevention,22,0.9426,1.0,False,0.5287,0.4713,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_starter_ra9,22,0.1062,1.0,False,0.0531,0.9469,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_starter_ra9,22,0.7664,1.0,False,0.6168,0.3832,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_starter_prior_starts,22,0.0086,0.1806,False,0.9957,0.0043,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_starter_prior_starts,22,0.6784,1.0,False,0.3392,0.6608,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_expected_outs,22,0.796,1.0,False,0.602,0.398,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_expected_outs,22,0.0314,0.5651999999999999,False,0.9843,0.0157,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_workload_uncertainty_outs,22,0.309,1.0,False,0.8455,0.1545,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_workload_uncertainty_outs,22,0.9746,1.0,False,0.5127,0.4873,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_bullpen_ra9,22,0.1294,1.0,False,0.9353,0.0647,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_bullpen_ra9,22,0.3202,1.0,False,0.8399,0.1601,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_bullpen_likely_available_reliever_count,22,0.0062,0.1364,False,0.9969,0.0031,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_bullpen_likely_available_reliever_count,22,0.8164,1.0,False,0.4082,0.5918,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,home_bullpen_recent_innings_burden,22,0.0604,1.0,False,0.0302,0.9698,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,away_bullpen_recent_innings_burden,22,0.5422,1.0,False,0.7289,0.2711,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,strict_prior_total_run_factor,22,0.0888,1.0,False,0.0444,0.9556,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,park_history_depth,22,0.2708,1.0,False,0.8646,0.1354,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,brier,game_number,22,0.656,1.0,False,0.328,0.672,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,league_total,22,0.0198,0.396,False,0.0099,0.9901,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_offense,22,0.024,0.456,False,0.012,0.988,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_prevention,22,0.0596,1.0,False,0.9702,0.0298,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_offense,22,0.2858,1.0,False,0.8571,0.1429,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_prevention,22,0.8506,1.0,False,0.5747,0.4253,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_starter_ra9,22,0.0964,1.0,False,0.0482,0.9518,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_starter_ra9,22,0.8184,1.0,False,0.5908,0.4092,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_starter_prior_starts,22,0.0086,0.1806,False,0.9957,0.0043,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_starter_prior_starts,22,0.7242,1.0,False,0.3621,0.6379,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_expected_outs,22,0.77,1.0,False,0.615,0.385,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_expected_outs,22,0.046,0.828,False,0.977,0.023,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_workload_uncertainty_outs,22,0.3272,1.0,False,0.8364,0.1636,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_workload_uncertainty_outs,22,0.9808,1.0,False,0.5096,0.4904,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_bullpen_ra9,22,0.1218,1.0,False,0.9391,0.0609,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_bullpen_ra9,22,0.2694,1.0,False,0.8653,0.1347,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_bullpen_likely_available_reliever_count,22,0.007,0.154,False,0.9965,0.0035,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_bullpen_likely_available_reliever_count,22,0.8176,1.0,False,0.4088,0.5912,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,home_bullpen_recent_innings_burden,22,0.0714,1.0,False,0.0357,0.9643,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,away_bullpen_recent_innings_burden,22,0.5222,1.0,False,0.7389,0.2611,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,strict_prior_total_run_factor,22,0.12,1.0,False,0.06,0.94,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,park_history_depth,22,0.2256,1.0,False,0.8872,0.1128,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,log_loss,game_number,22,0.6858,1.0,False,0.3429,0.6571,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,league_total,22,0.1214,1.0,False,0.0607,0.9393,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_offense,22,0.8132,1.0,False,0.5934,0.4066,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_prevention,22,0.2574,1.0,False,0.1287,0.8713,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_offense,22,0.933,1.0,False,0.5335,0.4665,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_prevention,22,0.3056,1.0,False,0.8472,0.1528,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_starter_ra9,22,0.977,1.0,False,0.4885,0.5115,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_starter_ra9,22,0.0752,1.0,False,0.0376,0.9624,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_starter_prior_starts,22,0.762,1.0,False,0.381,0.619,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_starter_prior_starts,22,0.5414,1.0,False,0.2707,0.7293,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_expected_outs,22,0.5514,1.0,False,0.2757,0.7243,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_expected_outs,22,0.0442,0.9282,False,0.9779,0.0221,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_workload_uncertainty_outs,22,0.6288,1.0,False,0.6856,0.3144,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_workload_uncertainty_outs,22,0.8166,1.0,False,0.5917,0.4083,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_bullpen_ra9,22,0.681,1.0,False,0.3405,0.6595,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_bullpen_ra9,22,0.9886,1.0,False,0.4943,0.5057,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_bullpen_likely_available_reliever_count,22,0.1166,1.0,False,0.9417,0.0583,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_bullpen_likely_available_reliever_count,22,0.9104,1.0,False,0.4552,0.5448,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,home_bullpen_recent_innings_burden,22,0.2866,1.0,False,0.1433,0.8567,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,away_bullpen_recent_innings_burden,22,0.5682,1.0,False,0.2841,0.7159,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,strict_prior_total_run_factor,22,0.0026,0.0572,False,0.0013,0.9987,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,park_history_depth,22,0.0728,1.0,False,0.0364,0.9636,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,mae,game_number,22,0.4182,1.0,False,0.2091,0.7909,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,league_total,22,0.0,0.0,True,0.0,1.0,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_offense,22,0.5618,1.0,False,0.7191,0.2809,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_prevention,22,0.9476,1.0,False,0.4738,0.5262,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_offense,22,0.9652,1.0,False,0.5174,0.4826,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_prevention,22,0.0144,0.288,False,0.9928,0.0072,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_starter_ra9,22,0.8806,1.0,False,0.4403,0.5597,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_starter_ra9,22,0.6682,1.0,False,0.3341,0.6659,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_starter_prior_starts,22,0.5486,1.0,False,0.7257,0.2743,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_starter_prior_starts,22,0.9666,1.0,False,0.5167,0.4833,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_expected_outs,22,0.9806,1.0,False,0.5097,0.4903,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_expected_outs,22,0.066,1.0,False,0.967,0.033,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_workload_uncertainty_outs,22,0.4404,1.0,False,0.7798,0.2202,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_workload_uncertainty_outs,22,0.0694,1.0,False,0.9653,0.0347,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_bullpen_ra9,22,0.1794,1.0,False,0.9103,0.0897,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_bullpen_ra9,22,0.0268,0.5092,False,0.9866,0.0134,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_bullpen_likely_available_reliever_count,22,0.7102,1.0,False,0.6449,0.3551,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_bullpen_likely_available_reliever_count,22,0.3046,1.0,False,0.8477,0.1523,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,home_bullpen_recent_innings_burden,22,0.1912,1.0,False,0.0956,0.9044,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,away_bullpen_recent_innings_burden,22,0.7872,1.0,False,0.6064,0.3936,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,strict_prior_total_run_factor,22,0.0018,0.0378,True,0.0009,0.9991,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,park_history_depth,22,0.1922,1.0,False,0.9039,0.0961,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,crps,game_number,22,0.8172,1.0,False,0.4086,0.5914,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,league_total,22,0.0,0.0,True,0.0,1.0,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_offense,22,0.5872,1.0,False,0.7064,0.2936,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_prevention,22,0.9984,1.0,False,0.4992,0.5008,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_offense,22,0.8934,1.0,False,0.5533,0.4467,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_prevention,22,0.0404,0.7676,False,0.9798,0.0202,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_starter_ra9,22,0.9584,1.0,False,0.4792,0.5208,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_starter_ra9,22,0.4186,1.0,False,0.2093,0.7907,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_starter_prior_starts,22,0.4436,1.0,False,0.7782,0.2218,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_starter_prior_starts,22,0.8084,1.0,False,0.4042,0.5958,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_expected_outs,22,0.9048,1.0,False,0.5476,0.4524,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_expected_outs,22,0.0184,0.368,False,0.9908,0.0092,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_workload_uncertainty_outs,22,0.5516,1.0,False,0.7242,0.2758,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_workload_uncertainty_outs,22,0.1166,1.0,False,0.9417,0.0583,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_bullpen_ra9,22,0.1096,1.0,False,0.9452,0.0548,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_bullpen_ra9,22,0.0498,0.8964,False,0.9751,0.0249,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_bullpen_likely_available_reliever_count,22,0.5324,1.0,False,0.7338,0.2662,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_bullpen_likely_available_reliever_count,22,0.262,1.0,False,0.869,0.131,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,home_bullpen_recent_innings_burden,22,0.143,1.0,False,0.0715,0.9285,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,away_bullpen_recent_innings_burden,22,0.991,1.0,False,0.4955,0.5045,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,strict_prior_total_run_factor,22,0.0012,0.025199999999999997,True,0.0006,0.9994,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,park_history_depth,22,0.2402,1.0,False,0.8799,0.1201,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,brier,game_number,22,0.6666,1.0,False,0.3333,0.6667,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,league_total,22,0.0,0.0,True,0.0,1.0,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_offense,22,0.5764,1.0,False,0.7118,0.2882,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_prevention,22,0.9562,1.0,False,0.5219,0.4781,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_offense,22,0.904,1.0,False,0.548,0.452,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_prevention,22,0.0304,0.608,False,0.9848,0.0152,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_starter_ra9,22,0.9178,1.0,False,0.4589,0.5411,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_starter_ra9,22,0.5236,1.0,False,0.2618,0.7382,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_starter_prior_starts,22,0.3438,1.0,False,0.8281,0.1719,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_starter_prior_starts,22,0.9474,1.0,False,0.4737,0.5263,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_expected_outs,22,0.7298,1.0,False,0.6351,0.3649,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_expected_outs,22,0.032,0.608,False,0.984,0.016,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_workload_uncertainty_outs,22,0.541,1.0,False,0.7295,0.2705,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_workload_uncertainty_outs,22,0.1108,1.0,False,0.9446,0.0554,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_bullpen_ra9,22,0.0906,1.0,False,0.9547,0.0453,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_bullpen_ra9,22,0.0386,0.6948000000000001,False,0.9807,0.0193,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_bullpen_likely_available_reliever_count,22,0.519,1.0,False,0.7405,0.2595,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_bullpen_likely_available_reliever_count,22,0.2416,1.0,False,0.8792,0.1208,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,home_bullpen_recent_innings_burden,22,0.1434,1.0,False,0.0717,0.9283,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,away_bullpen_recent_innings_burden,22,0.9126,1.0,False,0.5437,0.4563,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,strict_prior_total_run_factor,22,0.0012,0.025199999999999997,True,0.0006,0.9994,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,park_history_depth,22,0.1874,1.0,False,0.9063,0.0937,FWER sensitivity only; not sole replaceability interpretation
2026_SEQUENTIAL_EARLY,log_loss,game_number,22,0.7004,1.0,False,0.3502,0.6498,FWER sensitivity only; not sole replaceability interpretation
2026_LATE_HOLDOUT,mae,league_total,22,0.949,1.0,False,0.5255,0.4745,FWER sensitivity only; not sole replaceability interpretation
2026_LATE_HOLDOUT,mae,home_offense,22,0.8974,1.0,False,0.4487,0.5513,FWER sensitivity only; not sole replaceability interpretation
2026_LATE_HOLDOUT,mae,home_prevention,22,0.0928,1.0,False,0.9536,0.0464,FWER sensitivity only; not sole replaceability interpretation
2026_LATE_HOLDOUT,mae,away_offense,22,0.597,1.0,False,0.7015,0.2985,FWER sensitivity only; not sole replaceability interpretation
2026_LATE_HOLDOUT,mae,away_prevention,22,0.159,1.0,False,0.0795,0.9205,FWER sensitivity only; not sole replaceability interpretation
2026_LATE_HOLDOUT,mae,home_starter_ra9,22,0.9042,1.0,False,0.5479,0.4521,FWER sensitivity only; not sole replaceability interpretation
