feature,family,raw_source,construction,prior_cutoff,fallback,historical_recoverability,external_acquisition_needed,validation_status
d7_strikeouts_pitching,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d15_strikeouts_pitching,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d30_strikeouts_pitching,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d7_walks_allowed,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d15_walks_allowed,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d30_walks_allowed,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d7_earned_runs,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d15_earned_runs,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
d30_earned_runs,pitcher,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_at_bats,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_hits,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_home_runs,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_strikeouts,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_walks,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_plate_appearances,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
bvp_total_bases,BvP,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,GOVERNED_MISSING_FALLBACK,True,PASS_GOVERNED_FALLBACK
isna__rolling_result_avg_7,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_hits,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_home_runs,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_rbis,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_walks,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_hits,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_home_runs,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_rbis,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_walks,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_hits,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_home_runs,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_rbis,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_walks,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_total_bases,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_total_bases,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_total_bases,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_hits_runs_rbis,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_hits_runs_rbis,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_hits_runs_rbis,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_stolen_bases,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_stolen_bases,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_stolen_bases,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_strikeouts_batting,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_strikeouts_batting,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_strikeouts_batting,missingness,MLB StatsAPI game boxscore,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_strikeouts_pitching,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_strikeouts_pitching,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_strikeouts_pitching,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_walks_allowed,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_walks_allowed,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_walks_allowed,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_earned_runs,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_earned_runs,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_earned_runs,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d7_hits_allowed,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d15_hits_allowed,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__d30_hits_allowed,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_at_bats,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_hits,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_home_runs,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_rbi,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_strikeouts,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_walks,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_plate_appearances,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
isna__bvp_total_bases,missingness,historical probable-pitcher/BvP not used,prior-date rolling mean or missing indicator,official game date < prediction date,NaN + fit-only median + missing flag,EXACT_FROM_PRIOR_OFFICIAL_BOXSCORES,True,PASS
