ordinal,exact_field_name,coefficient,coefficient_sign,coefficient_magnitude,training_mean,training_standard_deviation,centering_scaling,input_form,missing_fallback_treatment,source_artifact_or_table,construction_definition,strict_prior_status,primary_conceptual_role,secondary_role,current_live_interpretation
11,away_expected_outs,0.007419496809107899,POSITIVE,0.007419496809107899,15.801231001162217,3.011490034385665,z=(x-15.801231001162217)/3.011490034385665,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Last 3 direct starts; else 1-2 direct; else last 20 team starts; else last 200 league starts; final synthetic 15 outs.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"Mean outs from governed away starter workload base, clipped to [3,27].",STRICT_PRIOR,STARTER_WORKLOAD/HISTORY,EXPECTED_AWAY_STARTER_WORKLOAD,Counterintuitive/asymmetric: a deeper expected away start raises expected runs.
12,home_workload_uncertainty_outs,0.010362819278096425,POSITIVE,0.010362819278096425,2.5668069657264914,1.5663261696556983,z=(x-2.5668069657264914)/1.5663261696556983,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Uses same workload tier as expected_outs; fixed 4.5 outs when tier has <=1 row.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,Population standard deviation of outs in governed home starter workload base; 4.5 when base has <=1 row.,STRICT_PRIOR,STARTER_WORKLOAD/HISTORY,HOME_WORKLOAD_UNCERTAINTY,Greater home-starter workload uncertainty raises expected runs.
13,away_workload_uncertainty_outs,0.0014323801126656583,POSITIVE,0.0014323801126656583,2.5474192247470175,1.5654398149378506,z=(x-2.5474192247470175)/1.5654398149378506,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Uses same workload tier as expected_outs; fixed 4.5 outs when tier has <=1 row.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,Population standard deviation of outs in governed away starter workload base; 4.5 when base has <=1 row.,STRICT_PRIOR,STARTER_WORKLOAD/HISTORY,AWAY_WORKLOAD_UNCERTAINTY,Greater away-starter workload uncertainty very slightly raises expected runs.
14,home_bullpen_ra9,0.015070549615556185,POSITIVE,0.015070549615556185,4.543327985645738,0.7479101918157626,z=(x-4.543327985645738)/0.7479101918157626,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Historical spine has governed league fallback; current live stale/incomplete history returns null state and fails context scoring.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,27 * all governed strict-prior home reliever runs allowed / reliever outs.,STRICT_PRIOR,BULLPEN,HOME_RELIEF_QUALITY,Worse home bullpen run prevention raises expected runs.
15,away_bullpen_ra9,0.010854280711089645,POSITIVE,0.010854280711089645,4.553736276372421,0.84110065379265,z=(x-4.553736276372421)/0.84110065379265,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Historical spine has governed league fallback; current live stale/incomplete history returns null state and fails context scoring.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,27 * all governed strict-prior away reliever runs allowed / reliever outs.,STRICT_PRIOR,BULLPEN,AWAY_RELIEF_QUALITY,Worse away bullpen run prevention raises expected runs.
16,home_bullpen_likely_available_reliever_count,-0.01084444912895344,NEGATIVE,0.01084444912895344,9.422309117102284,3.0976234406358305,z=(x-9.422309117102284)/3.0976234406358305,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"Unique home relievers used in prior 30 days minus unique home relievers used in prior 1 day, floored at zero.",STRICT_PRIOR,BULLPEN,HOME_RELIEVER_AVAILABILITY,More likely-available home relievers lowers expected runs.
17,away_bullpen_likely_available_reliever_count,0.003558827664027518,POSITIVE,0.003558827664027518,9.578925704877546,3.1170643465278403,z=(x-9.578925704877546)/3.1170643465278403,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"Unique away relievers used in prior 30 days minus unique away relievers used in prior 1 day, floored at zero.",STRICT_PRIOR,BULLPEN,AWAY_RELIEVER_AVAILABILITY,Counterintuitive/asymmetric: more likely-available away relievers raises expected runs.
18,home_bullpen_recent_innings_burden,-0.000834537374008508,NEGATIVE,0.000834537374008508,9.605542978665019,3.32833409975341,z=(x-9.605542978665019)/3.32833409975341,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,Home bullpen outs in prior 3 days divided by 3 (innings-equivalent burden).,STRICT_PRIOR,BULLPEN,HOME_RECENT_RELIEF_WORKLOAD,Counterintuitive but near zero: more recent home burden slightly lowers expected runs.
19,away_bullpen_recent_innings_burden,0.007154814495771844,POSITIVE,0.007154814495771844,9.224806201550388,3.2275133293466984,z=(x-9.224806201550388)/3.2275133293466984,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,Away bullpen outs in prior 3 days divided by 3 (innings-equivalent burden).,STRICT_PRIOR,BULLPEN,AWAY_RECENT_RELIEF_WORKLOAD,More recent away bullpen burden raises expected runs.
20,strict_prior_total_run_factor,0.04347158492532503,POSITIVE,0.04347158492532503,1.0080243915561882,0.058277054946043745,z=(x-1.0080243915561882)/0.058277054946043745,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Mathematical sparse shrinkage to 1.0; absent venue gives 1.0 but current complete-context admission requires direct regressed park history.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_park_factor.csv,"Venue mean adjusted-total ratio shrunk to 1.0 by weight n/(n+50), using only earlier official games.",STRICT_PRIOR,PARK,REGRESSED_VENUE_RUN_FACTOR,A +1 SD more run-increasing park factor raises expected runs most strongly among RAW terms.
21,park_history_depth,-0.02681303790069205,NEGATIVE,0.02681303790069205,80.043836180284,46.75071640123089,z=(x-80.043836180284)/46.75071640123089,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Zero with league park fallback; current complete-context admission requires direct regressed park history.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_park_factor.csv,Count n of earlier governed official games at the venue used by park-factor shrinkage.,STRICT_PRIOR,PARK,HISTORY_DEPTH_AND_SHRINKAGE_CONFIDENCE,More venue history directly lowers expected runs; established nonstationary sample-depth defect.
22,game_number,0.003839049993724805,POSITIVE,0.003839049993724805,1.0131714344515332,0.11400854251336694,z=(x-1.0131714344515332)/0.11400854251336694,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Official schedule value; schedule normalizer defaults missing value to 1.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/canonical_totals_game_spine.csv + official MLB schedule,Official schedule gameNumber (normally 1; doubleheader second game 2).,PREGAME_KNOWN_SCHEDULE_STATE_NOT_HISTORY,SCHEDULE/REST,DOUBLEHEADER_GAME_NUMBER,Second-game schedule state slightly raises expected runs.
