schema,object_name,classification,exact_game_identity,exact_player_identity,duplicate_identity_groups,null_identity_rows,team_opponent_alignment,slate_date_alignment,date_coverage,source_timestamps,ingestion_timestamps,strict_prior_usability,target_game_leakage_risk,historical_rewrite_evidence,definition_risks,cleanroom_eligible
mlb,pitcher_game_v4_features_6,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_7,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_8,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,player_derived_stats,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2023-03-30..2026-07-27,,created_at|updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,UNKNOWN_FAIL_CLOSED,,False
mlb,player_ids,UNKNOWN_FAIL_CLOSED,NO,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-05-11 22:34:45.167571+00..2026-07-25 19:42:58.496212+00,,created_at|updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,UNKNOWN_FAIL_CLOSED,,False
mlb,player_profiles_cache,UNKNOWN_FAIL_CLOSED,NO,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-09-10 07:31:14.539225+00..2025-09-10 07:37:24.539883+00,,updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,UNKNOWN_FAIL_CLOSED,,False
mlb,player_props,ACTIVE_OPERATIONAL,YES,YES,1266,0,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-04-14..2025-09-17,game_time,created_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,NO_UPDATE_FIELD,,False
mlb,player_stats,TRUSTED_SOURCE,YES,YES,0,0,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2023-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,NO_UPDATE_FIELD,,True
mlb,player_streak_history,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2023-08-31..2025-07-21,,updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,UNKNOWN_FAIL_CLOSED,,False
mlb,player_streak_profiles,DERIVED_RESEARCH_QUARANTINE,NO,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-05-07 18:16:26.624+00..2025-09-26 00:00:00+00,,updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,UNKNOWN_FAIL_CLOSED,,False
mlb,player_team_by_game,UNKNOWN_FAIL_CLOSED,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-09-03 20:18:15.792876+00..2025-09-03 20:18:15.792876+00,,updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,UNKNOWN_FAIL_CLOSED,,False
mlb,prop_features_precomputed,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-07-31..2026-07-28,,computed_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,,False
mlb,today_market_snapshot,DERIVED_RESEARCH_QUARANTINE,NO,NO,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,,,,NO_DATE_FIELD,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,today_market_timing_signal,DERIVED_RESEARCH_QUARANTINE,NO,NO,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,,,,NO_DATE_FIELD,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,today_odds_book_rows,ACTIVE_OPERATIONAL,YES,YES,16874,0,NOT_BOUNDED_TESTED,AVAILABLE,2026-04-19..2026-07-28,snapshot_ts,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,NO_UPDATE_FIELD,,False
mlb,today_player_context,DERIVED_RESEARCH_QUARANTINE,NO,NO,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,,,,NO_DATE_FIELD,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,today_slate_rows,ACTIVE_OPERATIONAL,YES,YES,16858,0,NOT_BOUNDED_TESTED,AVAILABLE,2026-04-19..2026-07-28,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,NO_UPDATE_FIELD,,False
mlb,today_wide_rows,ACTIVE_OPERATIONAL,YES,YES,16865,0,NOT_BOUNDED_TESTED,AVAILABLE,2026-04-19..2026-07-28,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,NO_UPDATE_FIELD,,False
mlb,today_workspace_mlb,DERIVED_RESEARCH_QUARANTINE,NO,NO,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,,,,NO_DATE_FIELD,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
