schema,object_name,object_type,owner,estimated_rows,exact_rows_when_safe,size_bytes,created_date,last_definition_change,last_write_evidence,date_coverage,primary_identity_columns,primary_key,foreign_key_dependencies,dependent_views_functions,trigger_writers,rls_enabled,active_repository_callers,active_scheduled_callers,known_research_callers
nhl,skater_points_raw,TABLE,postgres,97902,,34529280,,,,,game_id|player_id|team_id,"PRIMARY KEY (player_id, game_id)",,,,False,7,,0
nhl,skater_roll_windows_v1,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,3,,0
nhl,skater_rolling_agg,TABLE,postgres,98279,,13950976,,,,,game_id|player_id,"PRIMARY KEY (player_id, game_id)",,,,False,5,,0
nhl,skater_rolling_v3,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,2,,0
nhl,skater_shot_game_totals,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,3,,0
nhl,skater_special_teams_szn_to_date,VIEW,postgres,-1,,0,,,,,player_id,,,,,False,2,,0
nhl,skaters2023_stage,TABLE,postgres,4620,,3891200,,,,,,,,,,False,3,,0
nhl,skaters2023_stage_raw,TABLE,postgres,4620,,3883008,,,,,,,,,,False,3,,0
nhl,skaters_szn_sit,TABLE,postgres,4600,,13295616,,,,,player_id,,,,,False,3,,0
nhl,skaters_szn_sit_denali,TABLE,postgres,9220,,7471104,,,,,,,,,,False,3,,0
nhl,skaters_szn_sit_stage,TABLE,postgres,4600,,3735552,,,,,,,,,,False,3,,0
nhl,sog_denali_rollups_mv,MATERIALIZED_VIEW,postgres,13128,,1515520,,,,,,,,,,False,2,,0
nhl,sog_denali_rollups_v,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,3,,0
nhl,sog_training_frame_phoenix,VIEW,postgres,-1,,0,,,,,game_id,,,,,False,3,,0
nhl,team_context_rolling,TABLE,postgres,7149,,1155072,,,,,game_id|team_id,"PRIMARY KEY (team_id, game_id)",,,,False,9,,0
nhl,team_external_ids,TABLE,postgres,32,,81920,,,,,team_id,"PRIMARY KEY (team_id, provider)",,,,False,6,,0
nhl,team_game_2023_roll,TABLE,postgres,2800,,327680,,,,,game_id,,,,,False,3,,0
nhl,team_game_2023_summary,TABLE,postgres,2800,,278528,,,,,game_id,,,,,False,3,,0
nhl,team_game_2024_roll,TABLE,postgres,2796,,327680,,,,,game_id,,,,,False,3,,0
nhl,team_game_2024_summary,TABLE,postgres,2796,,278528,,,,,game_id,,,,,False,3,,0
nhl,team_game_sit,TABLE,postgres,0,,32768,,,,,game_id,"PRIMARY KEY (game_id, team_code, situation)",,,,False,3,,0
nhl,team_pp_toi_totals_by_date_team,MATERIALIZED_VIEW,postgres,6668,,622592,,,,,,,,,,False,2,,0
nhl,team_roll10_m,MATERIALIZED_VIEW,postgres,5716,,679936,,,,,,,,,,False,4,,0
nhl,team_shot_history_denali,VIEW,postgres,-1,,0,,,,,game_id,,,,,False,3,,0
nhl,teams,TABLE,postgres,37,,81920,,,,,team_id,PRIMARY KEY (team_id),,,,False,82,,3
nhl,teams_game_sit,TABLE,postgres,0,,49152,,,,,game_id,,,,,False,3,,0
nhl,teams_szn_sit_denali,TABLE,postgres,320,,253952,,,,,,,,,,False,3,,0
nhl,tf_skater_attempts_roll10,MATERIALIZED_VIEW,postgres,85542,,7929856,,,,,,,,,,False,4,,0
nhl,tf_team_roll10,TABLE,postgres,0,,1400832,,,,,game_id|team_id,,,,,False,7,,0
nhl,training_features_goalie_saves_v2,TABLE,postgres,11733,,5390336,,,,,game_id|player_id|team_id,"PRIMARY KEY (player_id, game_id)",,,,False,10,,0
nhl,training_features_goalie_saves_v2_ready,MATERIALIZED_VIEW,postgres,6693,,2375680,,,,,,,,,,False,6,,0
nhl,training_features_nhl_saves_enr_filt,MATERIALIZED_VIEW,postgres,4986,,1155072,,,,,,,,,,False,5,,0
nhl,training_features_nhl_saves_enriched,MATERIALIZED_VIEW,postgres,5938,,1564672,,,,,,,,,,False,5,,0
nhl,training_features_nhl_sog_enriched,MATERIALIZED_VIEW,postgres,109278,,17629184,,,,,,,,,,False,28,,0
nhl,training_features_nhl_sog_enriched_pregame,MATERIALIZED_VIEW,postgres,109278,,26705920,,,,,,,,,,False,26,,0
nhl,training_features_nhl_sog_enriched_pregame_v2,TABLE,postgres,59351,,90611712,,,,,game_id|player_id|team_id,,,,,False,26,,0
nhl,training_features_nhl_sog_enriched_pregame_v2_denali_cols,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,3,,0
nhl,training_features_nhl_sog_enriched_pregame_v2_mt,MATERIALIZED_VIEW,postgres,14854,,3055616,,,,,,,,,,False,3,,0
nhl,training_features_shots,TABLE,postgres,242342,,53485568,,,,,game_id,,,,,False,3,,0
nhl,training_features_shots_2023,TABLE,postgres,122472,,26173440,,,,,game_id,,,,,False,3,,0
nhl,training_features_shots_2024,TABLE,postgres,119870,,25665536,,,,,game_id,,,,,False,3,,0
nhl,training_features_shots_v,VIEW,postgres,-1,,0,,,,,game_id,,,,,False,3,,0
nhl,training_features_sog_denali,TABLE,postgres,82994,,99622912,,,,,game_id|player_id|team_id,,,,,False,11,,0
nhl,training_features_sog_denali_export,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,3,,0
nhl,training_features_sog_player_game,TABLE,postgres,85542,,10027008,,,,,game_id,,,,,False,3,,0
nhl,training_features_sog_player_game_v2,VIEW,postgres,-1,,0,,,,,game_id,,,,,False,3,,0
nhl,user_props,TABLE,postgres,8,,65536,,,,,game_id|player_id|team_id,PRIMARY KEY (id),,,,False,9,,0
nhl,v_dqa_goalie_ready_coverage,VIEW,postgres,-1,,0,,,,,,,,,,False,5,,0
nhl,v_dqa_sog_ready_coverage,VIEW,postgres,-1,,0,,,,,,,,,,False,5,,0
nhl,v_goalie_game_logs_played,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,6,,0
nhl,v_site_sog_eval_publish,VIEW,postgres,-1,,0,,,,,,,,,,False,3,,0
nhl,v_site_sog_predictions_publish,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,2,,0
nhl,v_skater_game_logs_played,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,5,,0
nhl,v_skater_logs_clean,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,3,,0
nhl,v_skater_rolling_agg,VIEW,postgres,-1,,0,,,,,game_id|player_id,,,,,False,2,,0
nhl,v_slate_saves_features,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,6,,0
nhl,v_slate_sog_features,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,6,,0
nhl,v_sog_denali_rollups_per_game,VIEW,postgres,-1,,0,,,,,game_id|player_id|team_id,,,,,False,3,,0
public,mlb_team_map,TABLE,postgres,38,,32768,,,,,team_id,PRIMARY KEY (abbr),,,,True,6,,0
public,opp_starter_per_game,TABLE,postgres,1630,,204800,,,,,game_id,"PRIMARY KEY (game_id, team)",,,,True,5,,0
realtime,messages,PARTITIONED_TABLE,supabase_realtime_admin,0,,0,,,,,,"PRIMARY KEY (id, inserted_at)",,,,True,1,,0
realtime,messages_2026_02_21,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,messages_2026_02_22,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,messages_2026_02_23,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,messages_2026_02_24,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,messages_2026_02_25,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,messages_2026_02_26,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,messages_2026_02_27,TABLE,supabase_admin,0,,24576,,,,,,"PRIMARY KEY (id, inserted_at)",,,,False,1,,0
realtime,schema_migrations,TABLE,supabase_admin,69,,24576,,,,,,PRIMARY KEY (version),,,,False,1,,0
realtime,subscription,TABLE,supabase_admin,0,,32768,,,,,,PRIMARY KEY (id),,,,False,1,,0
realtime,subscription_id_seq,SEQUENCE,supabase_admin,1,,8192,,,,,,,,,,False,1,,0
storage,buckets,TABLE,supabase_storage_admin,2,,49152,,,,,,PRIMARY KEY (id),,,,True,5,,3
storage,buckets_analytics,TABLE,supabase_storage_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,True,1,,0
storage,buckets_vectors,TABLE,supabase_storage_admin,0,,16384,,,,,,PRIMARY KEY (id),,,,True,1,,0
storage,migrations,TABLE,supabase_storage_admin,61,,73728,,,,,,PRIMARY KEY (id),,,,True,1,,0
storage,objects,TABLE,supabase_storage_admin,103,,212992,,,,,,PRIMARY KEY (id),,,,True,3,,0
storage,s3_multipart_uploads,TABLE,supabase_storage_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,True,1,,0
storage,s3_multipart_uploads_parts,TABLE,supabase_storage_admin,0,,16384,,,,,,PRIMARY KEY (id),,,,True,1,,0
storage,vector_indexes,TABLE,supabase_storage_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,True,1,,0
vault,decrypted_secrets,VIEW,supabase_admin,-1,,0,,,,,,,,,,False,1,,0
vault,secrets,TABLE,supabase_admin,0,,24576,,,,,,PRIMARY KEY (id),,,,False,1,,0
auth,email(),FUNCTION,supabase_auth_admin,,,,,,,,,,,,,,,,
auth,jwt(),FUNCTION,supabase_auth_admin,,,,,,,,,,,,,,,,
auth,role(),FUNCTION,supabase_auth_admin,,,,,,,,,,,,,,,,
auth,uid(),FUNCTION,supabase_auth_admin,,,,,,,,,,,,,,,,
cron,"alter_job(job_id bigint, schedule text, command text, database text, username text, active boolean)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
cron,job_cache_invalidate(),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
cron,"schedule(job_name text, schedule text, command text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
cron,"schedule(schedule text, command text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
cron,"schedule_in_database(job_name text, schedule text, command text, database text, username text, active boolean)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
cron,unschedule(job_id bigint),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
cron,unschedule(job_name text),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"algorithm_sign(signables text, secret text, algorithm text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,armor(bytea),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"armor(bytea, text[], text[])",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"crypt(text, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,dearmor(text),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"decrypt(bytea, bytea, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"decrypt_iv(bytea, bytea, bytea, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"digest(bytea, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"digest(text, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"encrypt(bytea, bytea, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"encrypt_iv(bytea, bytea, bytea, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,gen_random_bytes(integer),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,gen_random_uuid(),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,gen_salt(text),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"gen_salt(text, integer)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,grant_pg_cron_access(),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,grant_pg_graphql_access(),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,grant_pg_net_access(),FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
extensions,"hmac(bytea, bytea, text)",FUNCTION,supabase_admin,,,,,,,,,,,,,,,,
